captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-09-13T00:00:21.847964+00:00,btc-updown-5m-1789257600,5,4487808,84587504340792539814826757205215733844345059005038389682914439378391044532439,2026-09-13T00:00:00+00:00,2026-09-13T00:05:00+00:00,4.65,0.23,0.24,0.235,0.01,378.28,115.89,99
2026-09-13T00:00:21.847964+00:00,btc-updown-5m-1789257900,5,4487934,9445374152338338525382370692311316020530147882725046176395538960063285888772,2026-09-13T00:05:00+00:00,2026-09-13T00:10:00+00:00,9.65,0.49,0.5,0.495,0.01,333.6,216.0,99
2026-09-13T00:00:21.847964+00:00,btc-updown-15m-1789257600,15,4487814,67242545773277003692006958128203925703097815039175783190446091111679801289847,2026-09-13T00:00:00+00:00,2026-09-13T00:15:00+00:00,14.65,0.37,0.38,0.375,0.01,145.0,212.2,95
2026-09-13T00:00:21.847964+00:00,btc-updown-15m-1789258500,15,4488053,110926619555877900565447485485738995550172390104400384719863143200031831553859,2026-09-13T00:15:00+00:00,2026-09-13T00:30:00+00:00,29.65,0.49,0.5,0.495,0.01,91.02,43.94,97
2026-09-13T00:01:22.929704+00:00,btc-updown-5m-1789257600,5,4487808,84587504340792539814826757205215733844345059005038389682914439378391044532439,2026-09-13T00:00:00+00:00,2026-09-13T00:05:00+00:00,3.63,0.09,0.1,0.095,0.01,172.9,317.29,99
2026-09-13T00:01:22.929704+00:00,btc-updown-5m-1789257900,5,4487934,9445374152338338525382370692311316020530147882725046176395538960063285888772,2026-09-13T00:05:00+00:00,2026-09-13T00:10:00+00:00,8.63,0.49,0.5,0.495,0.01,231.42,307.01,99
2026-09-13T00:01:22.929704+00:00,btc-updown-15m-1789257600,15,4487814,67242545773277003692006958128203925703097815039175783190446091111679801289847,2026-09-13T00:00:00+00:00,2026-09-13T00:15:00+00:00,13.63,0.28,0.29,0.285,0.01,549.09,15.0,88
2026-09-13T00:01:22.929704+00:00,btc-updown-15m-1789258500,15,4488053,110926619555877900565447485485738995550172390104400384719863143200031831553859,2026-09-13T00:15:00+00:00,2026-09-13T00:30:00+00:00,28.63,0.49,0.5,0.495,0.01,40.0,118.94,99
2026-09-13T00:02:24.037796+00:00,btc-updown-5m-1789257600,5,4487808,84587504340792539814826757205215733844345059005038389682914439378391044532439,2026-09-13T00:00:00+00:00,2026-09-13T00:05:00+00:00,2.6,0.21,0.22,0.215,0.01,54.6,742.71,99
2026-09-13T00:02:24.037796+00:00,btc-updown-5m-1789257900,5,4487934,9445374152338338525382370692311316020530147882725046176395538960063285888772,2026-09-13T00:05:00+00:00,2026-09-13T00:10:00+00:00,7.6,0.49,0.5,0.495,0.01,233.61,227.01,99
2026-09-13T00:02:24.037796+00:00,btc-updown-15m-1789257600,15,4487814,67242545773277003692006958128203925703097815039175783190446091111679801289847,2026-09-13T00:00:00+00:00,2026-09-13T00:15:00+00:00,12.6,0.41,0.42,0.415,0.01,11643.15,25.0,92
2026-09-13T00:02:24.037796+00:00,btc-updown-15m-1789258500,15,4488053,110926619555877900565447485485738995550172390104400384719863143200031831553859,2026-09-13T00:15:00+00:00,2026-09-13T00:30:00+00:00,27.6,0.48,0.5,0.49,0.02,75.52,106.82,98
2026-09-13T00:03:25.186699+00:00,btc-updown-5m-1789257600,5,4487808,84587504340792539814826757205215733844345059005038389682914439378391044532439,2026-09-13T00:00:00+00:00,2026-09-13T00:05:00+00:00,1.58,0.35,0.36,0.355,0.01,264.99,429.87,99
2026-09-13T00:03:25.186699+00:00,btc-updown-5m-1789257900,5,4487934,9445374152338338525382370692311316020530147882725046176395538960063285888772,2026-09-13T00:05:00+00:00,2026-09-13T00:10:00+00:00,6.58,0.49,0.5,0.495,0.01,28.61,166.0,99
