captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-09-25T00:00:33.444625+00:00,btc-updown-5m-1790294400,5,4895580,76154549474522078791905585045465094026191983714357172936975407778461267499521,2026-09-25T00:00:00+00:00,2026-09-25T00:05:00+00:00,4.45,0.57,0.58,0.575,0.01,614.24,85.0,99
2026-09-25T00:00:33.444625+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,9.45,0.49,0.5,0.495,0.01,557.28,85.91,99
2026-09-25T00:00:33.444625+00:00,btc-updown-15m-1790294400,15,4895601,20662243405875148575405327378560833897302955242986440839620299705685591515912,2026-09-25T00:00:00+00:00,2026-09-25T00:15:00+00:00,14.45,0.52,0.53,0.525,0.01,64.77,225.31,99
2026-09-25T00:00:33.444625+00:00,btc-updown-15m-1790295300,15,4895742,19390102916367128952345098590637811643683309283471611037203612669503284563045,2026-09-25T00:15:00+00:00,2026-09-25T00:30:00+00:00,29.45,0.49,0.5,0.495,0.01,311.23,30.0,99
2026-09-25T00:01:34.680084+00:00,btc-updown-5m-1790294400,5,4895580,76154549474522078791905585045465094026191983714357172936975407778461267499521,2026-09-25T00:00:00+00:00,2026-09-25T00:05:00+00:00,3.43,0.76,0.77,0.765,0.01,451.8,165.0,99
2026-09-25T00:01:34.680084+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,8.43,0.49,0.5,0.495,0.01,478.17,90.91,99
2026-09-25T00:01:34.680084+00:00,btc-updown-15m-1790294400,15,4895601,20662243405875148575405327378560833897302955242986440839620299705685591515912,2026-09-25T00:00:00+00:00,2026-09-25T00:15:00+00:00,13.43,0.61,0.62,0.615,0.01,114.0,319.91,95
2026-09-25T00:01:34.680084+00:00,btc-updown-15m-1790295300,15,4895742,19390102916367128952345098590637811643683309283471611037203612669503284563045,2026-09-25T00:15:00+00:00,2026-09-25T00:30:00+00:00,28.43,0.49,0.5,0.495,0.01,336.23,30.0,99
2026-09-25T00:02:35.829777+00:00,btc-updown-5m-1790294400,5,4895580,76154549474522078791905585045465094026191983714357172936975407778461267499521,2026-09-25T00:00:00+00:00,2026-09-25T00:05:00+00:00,2.42,0.93,0.94,0.935,0.01,566.56,152.0,99
2026-09-25T00:02:35.829777+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,7.42,0.49,0.5,0.495,0.01,293.17,0.91,99
2026-09-25T00:02:35.829777+00:00,btc-updown-15m-1790294400,15,4895601,20662243405875148575405327378560833897302955242986440839620299705685591515912,2026-09-25T00:00:00+00:00,2026-09-25T00:15:00+00:00,12.42,0.7,0.71,0.705,0.01,139.0,290.0,92
2026-09-25T00:02:35.829777+00:00,btc-updown-15m-1790295300,15,4895742,19390102916367128952345098590637811643683309283471611037203612669503284563045,2026-09-25T00:15:00+00:00,2026-09-25T00:30:00+00:00,27.42,0.49,0.5,0.495,0.01,254.7,210.0,99
2026-09-25T00:03:36.919807+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,6.4,0.49,0.5,0.495,0.01,215.47,30.0,99
2026-09-25T00:03:36.919807+00:00,btc-updown-15m-1790294400,15,4895601,20662243405875148575405327378560833897302955242986440839620299705685591515912,2026-09-25T00:00:00+00:00,2026-09-25T00:15:00+00:00,11.4,0.79,0.8,0.795,0.01,35.0,264.27,91
2026-09-25T00:03:36.919807+00:00,btc-updown-15m-1790295300,15,4895742,19390102916367128952345098590637811643683309283471611037203612669503284563045,2026-09-25T00:15:00+00:00,2026-09-25T00:30:00+00:00,26.4,0.49,0.5,0.495,0.01,254.7,290.0,99
2026-09-25T00:04:37.927456+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,5.38,0.57,0.58,0.575,0.01,215.5,422.37,99
2026-09-25T00:04:37.927456+00:00,btc-updown-15m-1790294400,15,4895601,20662243405875148575405327378560833897302955242986440839620299705685591515912,2026-09-25T00:00:00+00:00,2026-09-25T00:15:00+00:00,10.38,0.84,0.85,0.845,0.01,7746.75,249.04,84
2026-09-25T00:04:37.927456+00:00,btc-updown-15m-1790295300,15,4895742,19390102916367128952345098590637811643683309283471611037203612669503284563045,2026-09-25T00:15:00+00:00,2026-09-25T00:30:00+00:00,25.38,0.49,0.5,0.495,0.01,254.7,290.0,99
2026-09-25T00:05:38.947696+00:00,btc-updown-5m-1790294700,5,4895652,79478464829781915603072045940247309054104603602457945801203373913895045731315,2026-09-25T00:05:00+00:00,2026-09-25T00:10:00+00:00,4.37,0.53,0.54,0.535,0.01,560.11,136.67,99
2026-09-25T00:05:38.947696+00:00,btc-updown-5m-1790295000,5,4895658,55562175566283216373655358350394771786294057952849975194765346231168468406390,2026-09-25T00:10:00+00:00,2026-09-25T00:15:00+00:00,9.37,0.49,0.5,0.495,0.01,334.95,460.7,99
