captured_at,slug,interval_min,market_id,yes_token,window_start,window_end,minutes_left,best_bid,best_ask,mid,spread,bid_size,ask_size,book_levels
2026-08-06T00:00:50.370439+00:00,btc-updown-5m-1785974400,5,3350329,20951399957296263346478190373768519122657153770239505398211197157968471886199,2026-08-06T00:00:00+00:00,2026-08-06T00:05:00+00:00,4.17,0.5,0.51,0.505,0.01,520.28,40.17,99
2026-08-06T00:00:50.370439+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,9.17,0.5,0.51,0.505,0.01,532.88,420.5,99
2026-08-06T00:00:50.370439+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,14.17,0.5,0.51,0.505,0.01,110.45,181.66,99
2026-08-06T00:00:50.370439+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,29.17,0.5,0.51,0.505,0.01,130.0,528.38,83
2026-08-06T00:01:52.698568+00:00,btc-updown-5m-1785974400,5,3350329,20951399957296263346478190373768519122657153770239505398211197157968471886199,2026-08-06T00:00:00+00:00,2026-08-06T00:05:00+00:00,3.13,0.12,0.13,0.125,0.01,287.17,69.16,99
2026-08-06T00:01:52.698568+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,8.13,0.5,0.51,0.505,0.01,747.88,231.57,99
2026-08-06T00:01:52.698568+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,13.13,0.25,0.26,0.255,0.01,109.65,118.96,99
2026-08-06T00:01:52.698568+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,28.13,0.5,0.51,0.505,0.01,345.0,218.58,84
2026-08-06T00:02:54.973048+00:00,btc-updown-5m-1785974400,5,3350329,20951399957296263346478190373768519122657153770239505398211197157968471886199,2026-08-06T00:00:00+00:00,2026-08-06T00:05:00+00:00,2.1,0.12,0.13,0.125,0.01,243.95,171.48,99
2026-08-06T00:02:54.973048+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,7.1,0.5,0.51,0.505,0.01,1216.65,543.38,99
2026-08-06T00:02:54.973048+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,12.1,0.27,0.28,0.275,0.01,159.65,42.14,99
2026-08-06T00:02:54.973048+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,27.1,0.5,0.51,0.505,0.01,325.0,218.58,83
2026-08-06T00:03:57.261049+00:00,btc-updown-5m-1785974400,5,3350329,20951399957296263346478190373768519122657153770239505398211197157968471886199,2026-08-06T00:00:00+00:00,2026-08-06T00:05:00+00:00,1.05,0.03,0.04,0.035,0.01,26.94,286.05,99
2026-08-06T00:03:57.261049+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,6.05,0.5,0.51,0.505,0.01,1103.71,427.74,99
2026-08-06T00:03:57.261049+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,11.05,0.22,0.23,0.225,0.01,205.26,105.43,99
2026-08-06T00:03:57.261049+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,26.05,0.5,0.51,0.505,0.01,338.94,208.77,84
2026-08-06T00:04:59.538619+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,5.02,0.53,0.54,0.535,0.01,126.22,62.62,95
2026-08-06T00:04:59.538619+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,10.02,0.17,0.18,0.175,0.01,186.05,126.0,99
2026-08-06T00:04:59.538619+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,25.02,0.5,0.51,0.505,0.01,388.94,208.77,84
2026-08-06T00:06:02.009163+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,3.97,0.48,0.49,0.485,0.01,48.63,284.91,99
2026-08-06T00:06:02.009163+00:00,btc-updown-5m-1785975000,5,3350417,47684447209893440374823330117519586934792348808958943709651032818043226002278,2026-08-06T00:10:00+00:00,2026-08-06T00:15:00+00:00,8.97,0.5,0.51,0.505,0.01,778.46,530.13,99
2026-08-06T00:06:02.009163+00:00,btc-updown-15m-1785974400,15,3350327,10843629622426201980183322696321279936599679038878770988162831480327121679201,2026-08-06T00:00:00+00:00,2026-08-06T00:15:00+00:00,8.97,0.22,0.23,0.225,0.01,114.89,173.7,99
2026-08-06T00:06:02.009163+00:00,btc-updown-15m-1785975300,15,3350431,31897158299535259762741741597495177788496806285538298081428388727618919254244,2026-08-06T00:15:00+00:00,2026-08-06T00:30:00+00:00,23.97,0.5,0.51,0.505,0.01,338.94,208.77,84
2026-08-06T00:07:04.287879+00:00,btc-updown-5m-1785974700,5,3350405,19439912689583174749322182298012488258366379100892106841958684490131919516786,2026-08-06T00:05:00+00:00,2026-08-06T00:10:00+00:00,2.93,0.82,0.83,0.825,0.01,140.11,69.78,99
